id	group	english	comments for translator	arabic	arabic_comments	bengali	bengali_comments	 chinese (simplified)	 chinese_simplified_comments	 chinese (traditional)	 chinese_traditional_comments	czech	czech_comments	 danish	danish_comments	 dutch	dutch_comments	 farsi/persian	farsi_comments	 finnish	finnish_comments	 french	french_comments	 german	german_comments	 greek	greek_comments	 hebrew	hebrew_comments	 hindi	hindi_comments	hungarian	hungarian_comments	indonesian	indonesian_comments	 italian	italian_comments	 japanese	 japanese_comments	jaVanese	javanese_comments	 korean	 korean_comments	 norweigan	 norweigan_comments	 polish	 polish_comments	 portuguese	 portuguese_comments	 portuguese_br	 portuguese_br_comments	 russian	 russian_comments	 spanish	 spanish_comments	 swedish	 swedish_comments	thai	thai_comments	 turkish	turkish_comments	vietnamese	vietnamese_comments	sentinel
10	numbers	zero		אפס		শূন্য		零				nula		nul		nul		صفر		nolla		zéro		null		μηδέν		אפס		शून्य		nulla		nol		zero		ゼロ		nul		제로		null		zero		zero		zero		нулевой		cero		noll		เป็นศูนย์		sıfır		không		0
20	numbers	one		אחד		এক		一				jeden		én		een		یک		yksi		un		ein		ένας		אחד		एक		egy		satu		uno		一		siji		하나		en		jeden		um		um		один		uno		ett		หนึ่ง		bir		một		0
30	numbers	two		שנים		দুই		二				dvě		to		twee		دو		kaksi		deux		zwei		δυο		שנים		दो		két		dua		due		二		loro		두		to		dwa		dois		dois		два		dos		två		สอง		iki		hai		0
40	numbers	three		שלושה		তিন		三				tři		tre		drie		سه		kolme		trois		drei		τρία		שלושה		तीन		három		tiga		tre		三		telung		세		tre		trzy		três		três		три		tres		tre		สาม		üç		ba		0
50	numbers	four		ארבעה		চার		四				čtyři		fire		vier		چهار		neljä		quatre		vier		τέσσερα		ארבעה		चार		négy		empat		quattro		四		papat		네		fire		cztery		quatro		quatro		четыре		cuatro		fyra		สี่		dört		bốn		0
60	numbers	five		חמישה		পাঁচ		五				pět		fem		vijf		پنج		viisi		cinq		fünf		πέντε		חמישה		पांच		öt		lima		cinque		五		lima		다섯		fem		pięć		cinco		cinco		пять		cinco		fem		ห้า		beş		năm		0
70	numbers	six		שש		ছয়		六				šest		seks		zes		شش		kuusi		six		sechs		έξι		שש		छह		hat		enam		sei		六		nem		여섯		seks		sześć		seis		seis		шесть		seis		sex		หก		altı		sáu		0
80	numbers	seven		שבעה		সাত		七				sedm		syv		zeven		هفت		seitsemän		sept		sieben		επτά		שבעה		सात		hét		tujuh		sette		七		pitu		일곱		syv		siedem		sete		sete		семь		siete		syv		เจ็ด		yedi		bảy		0
90	numbers	eight		שמונה		আট		八				osm		otte		acht		هشت		kahdeksan		huit		acht		οκτώ		שמונה		आठ		nyolc		delapan		otto		八		wolung		여덟		åtte		osiem		oito		oito		восемь		ocho		åtta		แปด		sekiz		tám		0
100	numbers	nine		תשעה		নয়টি		九				devět		ni		negen		نه نفر		yhdeksän		neuf		neun		εννέα		תשעה		नौ		kilenc		sembilan		nove		九		sangang		구		ni		dziewięć		nove		nove		девять		nueve		nio		เก้า		dokuz		chín		0
110	numbers	ten		עשרה		দশ		十				deset		ti		tien		ده		kymmenen		dix		zehn		δέκα		עשרה		दस		tíz		sepuluh		dieci		十		sepuluh		열		ti		dziesięć		dez		dez		десять		diez		tio		สิบ		on		mười		0
120	numbers	eleven		أحد عشر		এগারো		十一				jedenáct		elleve		elf		یازده		yksitoista		onze		elf		έντεκα		אחת עשרה		ग्यारह		tizenegy		sebelas		undici				sewelas		열한		elleve		jedenaście		onze		onze		одиннадцать		once		elva		สิบเอ็ด		on bir		mười một		0
130	numbers	twelve		اثنا عشر		বারো		十二				dvanáct		tolv		twaalf		دوازده		kaksitoista		douze		zwölf		δώδεκα		שנים עשר		बारह		tizenkét		duabelas		dodici				rolas		열두		tolv		dwanaście		doze		doze		двенадцать		doce		tolv		สิบสอง		oniki		mười hai		0
140	numbers	thirteen		ثلاثة عشر		তের		十三				třináct		tretten		dertien		سیزده		kolmetoista		treize		dreizehn		δεκατρία		שלושה עשר		तेरह		tizenhárom		tigabelas		tredici				telulas		열세		tretten		trzynaście		treze		treze		тринадцать		trece		tretton		สิบสาม		on üç		mười ba		0
150	numbers	fourteen		أربعة عشرة		চৌদ্দ		十四				čtrnáct		fjorten		veertien		چهارده		neljätoista		quatorze		vierzehn		δεκατέσσερα		ארבעה עשר		चौदह		tizennégy		empatbelas		quattordici				patbelas		십사		fjorten		czternaście		catorze		catorze		четырнадцать		catorce		fjorton		สิบสี่		on dört		mười bốn		0
160	numbers	fifteen		خمسة عشر		পনের		十五				patnáct		femten		vijftien		پانزده		viisitoista		quinze		fünfzehn		δεκαπέντε		חמישה עשר		पंद्रह		tizenöt		limabelas		quindici				limalas		열 다섯		femten		piętnaście		quinze		quinze		пятнадцать		quince		femton		สิบห้า		onbeş		mười lăm		0
