id	group	english	Part of Speech: n=noun, v=verb, adj=adjective, adv=adverb, phrase=phrase	comments for translator	Wiktionary	arabic	arabic_comments	bengali	bengali_comments	 chinese_simplified	 chinese_simplified_comments	 chinese_traditional	 chinese_traditional_comments	czech	czech_comments	 danish	danish_comments	 dutch	dutch_comments	 farsi/persian	farsi_comments	 finnish	finnish_comments	 french	french_comments	 german	german_comments	 greek	greek_comments	 hebrew	hebrew_comments	 hindi	hindi_comments	hungarian	hungarian_comments	indonesian	indonesian_comments	 italian	italian_comments	 japanese	 japanese_comments	jaVanese	javanese_comments	 korean	 korean_comments	malay	malay_comments	norwegian	norwegian_comments	 polish	 polish_comments	 portuguese	 portuguese_comments	 portuguese_br	 portuguese_br_comments	 russian	 russian_comments	 spanish	 spanish_comments	 swedish	 swedish_comments	thai	thai_comments	 turkish	turkish_comments	vietnamese	vietnamese_comments	sentinel/internal_id
0	numbers	zero			http://en.wiktionary.org/wiki/zero#Translations	صفر 		শূন্য		零		零		nula		nul		nul		صفر		nolla		zéro		null		μηδέν		אפס		शून्य		nulla		nol		zero		ゼロ		nul		제로		nol 		null		zero		zero		zero		нулевой		cero		noll		เป็นศูนย์		sıfır		không		0
1	numbers	one			http://en.wiktionary.org/wiki/one#Translations	واحد 		এক		一		一		jeden		én		een		یک		yksi		un		ein		ένας		אחד		एक		egy		satu		uno		一		siji		하나		satu 		en		jeden		um		um		один		uno		ett		หนึ่ง		bir		một		0
2	numbers	two			http://en.wiktionary.org/wiki/two#Translations	اثنان 		দুই		二		二		dvě		to		twee		دو		kaksi		deux		zwei		δυο		שנים		दो		két		dua		due		二		loro		두		dua 		to		dwa		dois		dois		два		dos		två		สอง		iki		hai		0
3	numbers	three			http://en.wiktionary.org/wiki/three#Translations	ثلاثة 		তিন		三		三		tři		tre		drie		سه		kolme		trois		drei		τρία		שלושה		तीन		három		tiga		tre		三		telung		세		tiga 		tre		trzy		três		três		три		tres		tre		สาม		üç		ba		0
4	numbers	four			http://en.wiktionary.org/wiki/four#Translations	أربعة 		চার		四		四		čtyři		fire		vier		چهار		neljä		quatre		vier		τέσσερα		ארבעה		चार		négy		empat		quattro		四		papat		네		empat 		fire		cztery		quatro		quatro		четыре		cuatro		fyra		สี่		dört		bốn		0
5	numbers	five			http://en.wiktionary.org/wiki/five#Translations	خمسة 		পাঁচ		五		五		pět		fem		vijf		پنج		viisi		cinq		fünf		πέντε		חמישה		पांच		öt		lima		cinque		五		lima		다섯		lima 		fem		pięć		cinco		cinco		пять		cinco		fem		ห้า		beş		năm		0
6	numbers	six			http://en.wiktionary.org/wiki/six#Translations	ستة 		ছয়		六		六		šest		seks		zes		شش		kuusi		six		sechs		έξι		שש		छह		hat		enam		sei		六		nem		여섯		enam 		seks		sześć		seis		seis		шесть		seis		sex		หก		altı		sáu		0
7	numbers	seven			http://en.wiktionary.org/wiki/seven#Translations	سبعة 		সাত		七		七		sedm		syv		zeven		هفت		seitsemän		sept		sieben		επτά		שבעה		सात		hét		tujuh		sette		七		pitu		일곱		tujuh 		syv		siedem		sete		sete		семь		siete		syv		เจ็ด		yedi		bảy		0
8	numbers	eight			http://en.wiktionary.org/wiki/eight#Translations	ثمانية 		আট		八		八		osm		otte		acht		هشت		kahdeksan		huit		acht		οκτώ		שמונה		आठ		nyolc		delapan		otto		八		wolung		여덟		delapan 		åtte		osiem		oito		oito		восемь		ocho		åtta		แปด		sekiz		tám		0
9	numbers	nine			http://en.wiktionary.org/wiki/nine#Translations	تسعة 		নয়টি		九		九		devět		ni		negen		نه نفر		yhdeksän		neuf		neun		εννέα		תשעה		नौ		kilenc		sembilan		nove		九		sangang		구		sembilan 		ni		dziewięć		nove		nove		девять		nueve		nio		เก้า		dokuz		chín		0
10	numbers	ten			http://en.wiktionary.org/wiki/ten#Translations	عشرة		দশ		十		十		deset		ti		tien		ده		kymmenen		dix		zehn		δέκα		עשרה		दस		tíz		sepuluh		dieci		十		sepuluh		열		dengan 		ti		dziesięć		dez		dez		десять		diez		tio		สิบ		on		mười		0
11	numbers	eleven			http://en.wiktionary.org/wiki/eleven#Translations	أحد عشر		এগারো		十一		十一		jedenáct		elleve		elf		یازده		yksitoista		onze		elf		έντεκα		אחת עשרה		ग्यारह		tizenegy		sebelas		undici		じゅういち		sewelas		열한		sebelas 		elleve		jedenaście		onze		onze		одиннадцать		once		elva		สิบเอ็ด		on bir		mười một		0
12	numbers	twelve			http://en.wiktionary.org/wiki/twelve#Translations	اثنا عشر		বারো		十二		十二		dvanáct		tolv		twaalf		دوازده		kaksitoista		douze		zwölf		δώδεκα		שנים עשר		बारह		tizenkét		duabelas		dodici		十二		rolas		열두		dua belas 		tolv		dwanaście		doze		doze		двенадцать		doce		tolv		สิบสอง		oniki		mười hai		0
13	numbers	thirteen			http://en.wiktionary.org/wiki/thirteen#Translations	ثلاثة عشر		তের		十三		十三		třináct		tretten		dertien		سیزده		kolmetoista		treize		dreizehn		δεκατρία		שלושה עשר		तेरह		tizenhárom		tigabelas		tredici		十三 		telulas		열세		tigabelas 		tretten		trzynaście		treze		treze		тринадцать		trece		tretton		สิบสาม		on üç		mười ba		0
